"jurisdiction","code","title","description"
sanbernardino,1297,Assistant Chief Probation Officer,Definition Under general direction
sanbernardino,1410,Assistant District Attorney,Definition Under general administrative direction
sanbernardino,10019,Assistant Director of Human Resources,Definition Under general direction
sdcounty,265,Assistant Sheriff, CLASSIFICATION PURPOSE AND DISTINGUISHING CHARACTERISTICS To assist in developing department policies
sdcounty,3697,Associate Meteorologist, CLASSIFICATION PURPOSE AND DISTINGUISHING CHARACTERISTICS To analyze and predict meteorologist conditions as applied to air pollution formation
ventura,80,Appraiser Trainee,Definition Under general supervision (Trainee
ventura,2181,Assistant Chief Probation Officer,Definition DEFINITION: Under general direction
ventura,9111,Apcd Public Information Specialist,Definition Under direction of the Public Information Manager
